PartitionKey,RowKey,test_type,test_type@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,server,server@type,duration,duration@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type
10.2.0.10,01 27 2022 13 00 00,iperf3,String,"4,732,364,067",String,"4,728,218,744",String,159724,Int32,7160,Int32,113443,Int32,10.1.0.8,String,5,Int64,,,,,,,,,,,,,,
10.2.0.13,01 27 2022 13 00 00,iperf3,String,"4,749,249,152",String,"4,745,040,114",String,57308,Int32,3467,Int32,15711,Int32,10.1.0.17,String,5,Int64,,,,,,,,,,,,,,
10.2.0.15,01 27 2022 13 00 00,iperf3,String,"4,736,490,372",String,"4,732,275,409",String,503058,Int32,3068,Int32,20353,Int32,10.1.0.32,String,5,Int64,,,,,,,,,,,,,,
10.2.0.16,01 27 2022 13 00 00,iperf3,String,"4,746,712,294",String,"4,742,782,360",String,46385,Int32,3797,Int32,13678,Int32,10.1.0.38,String,5,Int64,,,,,,,,,,,,,,
10.2.0.17,01 27 2022 13 00 00,iperf3,String,"4,749,254,294",String,"4,739,465,881",String,114380,Int32,7070,Int32,60639,Int32,10.1.0.6,String,5,Int64,,,,,,,,,,,,,,
10.2.0.18,01 27 2022 13 00 00,iperf3,String,"4,747,524,132",String,"4,741,940,966",String,52709,Int32,5992,Int32,19520,Int32,10.1.0.24,String,5,Int64,,,,,,,,,,,,,,
10.2.0.19,01 27 2022 13 00 00,iperf3,String,"4,726,699,437",String,"4,723,123,861",String,92469,Int32,27695,Int32,61313,Int32,10.1.0.18,String,5,Int64,,,,,,,,,,,,,,
10.2.0.20,01 27 2022 13 00 00,iperf3,String,"4,749,878,468",String,"4,745,363,299",String,69756,Int32,3647,Int32,27621,Int32,10.1.0.37,String,5,Int64,,,,,,,,,,,,,,
10.2.0.21,01 27 2022 13 00 00,iperf3,String,"4,742,848,578",String,"4,738,958,375",String,87510,Int32,7376,Int32,32126,Int32,10.1.0.16,String,5,Int64,,,,,,,,,,,,,,
10.2.0.22,01 27 2022 13 00 00,iperf3,String,"4,724,484,263",String,"4,720,081,835",String,33057,Int32,6102,Int32,19619,Int32,10.1.0.40,String,5,Int64,,,,,,,,,,,,,,
10.2.0.23,01 27 2022 13 00 00,iperf3,String,"4,731,677,200",String,"4,727,175,554",String,158715,Int32,10757,Int32,114854,Int32,10.1.0.5,String,5,Int64,,,,,,,,,,,,,,
10.2.0.26,01 27 2022 13 00 00,iperf3,String,"4,750,552,472",String,"4,746,148,798",String,49100,Int32,5867,Int32,21539,Int32,10.1.0.35,String,5,Int64,,,,,,,,,,,,,,
10.2.0.27,01 27 2022 13 00 00,iperf3,String,"4,746,897,180",String,"4,742,302,336",String,70128,Int32,9987,Int32,36987,Int32,10.1.0.23,String,5,Int64,,,,,,,,,,,,,,
10.2.0.28,01 27 2022 13 00 00,iperf3,String,"4,750,323,104",String,"4,745,185,053",String,676405,Int32,10112,Int32,68139,Int32,10.1.0.39,String,5,Int64,,,,,,,,,,,,,,
10.2.0.29,01 27 2022 13 00 00,iperf3,String,"4,750,513,310",String,"4,739,748,963",String,112569,Int32,6662,Int32,68713,Int32,10.1.0.21,String,5,Int64,,,,,,,,,,,,,,
10.2.0.31,01 27 2022 13 00 00,iperf3,String,"4,733,106,134",String,"4,729,498,094",String,76186,Int32,8939,Int32,23989,Int32,10.1.0.12,String,5,Int64,,,,,,,,,,,,,,
10.2.0.33,01 27 2022 13 00 00,iperf3,String,"4,717,024,277",String,"4,712,704,236",String,277441,Int32,6613,Int32,26564,Int32,10.1.0.26,String,5,Int64,,,,,,,,,,,,,,
10.2.0.34,01 27 2022 13 00 00,iperf3,String,"4,739,099,049",String,"4,734,783,738",String,868047,Int32,3274,Int32,63050,Int32,10.1.0.25,String,5,Int64,,,,,,,,,,,,,,
10.2.0.35,01 27 2022 13 00 00,iperf3,String,"4,740,978,079",String,"4,736,520,893",String,82092,Int32,6449,Int32,38521,Int32,10.1.0.19,String,5,Int64,,,,,,,,,,,,,,
10.2.0.36,01 27 2022 13 00 00,iperf3,String,"4,728,050,017",String,"4,724,106,821",String,31737,Int32,3301,Int32,14557,Int32,10.1.0.20,String,5,Int64,,,,,,,,,,,,,,
10.2.0.37,01 27 2022 13 00 00,iperf3,String,"4,749,292,263",String,"4,744,299,588",String,195119,Int32,8881,Int32,37667,Int32,10.1.0.9,String,5,Int64,,,,,,,,,,,,,,
10.2.0.38,01 27 2022 13 00 00,iperf3,String,"4,748,364,388",String,"4,744,361,945",String,55092,Int32,2344,Int32,9971,Int32,10.1.0.14,String,5,Int64,,,,,,,,,,,,,,
10.2.0.40,01 27 2022 13 00 00,iperf3,String,"4,749,252,216",String,"4,744,726,514",String,30729,Int32,13816,Int32,24126,Int32,10.1.0.7,String,5,Int64,,,,,,,,,,,,,,
10.2.0.41,01 27 2022 13 00 00,iperf3,String,"4,746,825,396",String,"4,742,656,471",String,40497,Int32,8176,Int32,16874,Int32,10.1.0.36,String,5,Int64,,,,,,,,,,,,,,
10.2.0.6,01 27 2022 13 00 00,iperf3,String,"4,750,263,802",String,"4,745,621,963",String,46563,Int32,6582,Int32,20654,Int32,10.1.0.31,String,5,Int64,,,,,,,,,,,,,,
10.2.0.7,01 27 2022 13 00 00,iperf3,String,"4,749,814,028",String,"4,745,874,263",String,220116,Int32,4168,Int32,38613,Int32,10.1.0.22,String,5,Int64,,,,,,,,,,,,,,
10.2.0.8,01 27 2022 13 00 00,iperf3,String,"4,751,058,951",String,"4,747,053,030",String,47215,Int32,6007,Int32,17037,Int32,10.1.0.15,String,5,Int64,,,,,,,,,,,,,,
10.2.0.9,01 27 2022 13 00 00,iperf3,String,"4,745,540,448",String,"4,741,323,159",String,36608,Int32,1990,Int32,6049,Int32,10.1.0.41,String,5,Int64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"132,784,137,370",,"132,651,342,263",,,,,,36854.53571,,,,,,,,,,,,,,,,,,,
